month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,"market_Binny Mill (F&V), Bangalore",market_Chickkaballapura,market_Davangere,market_Hassan,market_Hospet,market_Malur,market_Mysore (Bandipalya),market_Shimoga,year
,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,1,,,2020
,,,,,,,,,,1,,,,,1,,,,2020
,,,,,,,,,,1,,,,1,,,,,2020
,,,,,,,,,,1,,,1,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,1,2020
,,,,,,,,,1,,,,,,,,1,,2020
,,,,,,,,,1,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,1,,,,2020
,,,,,,,,,1,,,,,1,,,,,2020
,,,,,,,,,1,,,,1,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,1,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,1,,,,,2020
,,,,,,,,1,,,,,1,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,1,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,1,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,2020
,,,,,1,,,,,,,,,,,,,1,2020
,,,,,1,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,2020
