month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Himachal Pradesh,state_Kerala,market_Dharampur,market_Kattappana,market_Nedumkandam,market_Thodupuzha,market_Ungatur,year
,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,1,,2020
,,,,,,,,,,1,,1,,,1,,,2020
,,,,,,,,,,1,,1,,1,,,,2020
,,,,,,,,,,1,1,,1,,,,,2020
,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,1,,2020
,,,,,,,,,1,,,1,,,1,,,2020
,,,,,,,,,1,,,1,,1,,,,2020
,,,,,,,,,1,,1,,1,,,,,2020
,,,,,,,,1,,,,,,,,,1,2020
,,,,,,,,1,,,,1,,,,1,,2020
,,,,,,,,1,,,,1,,,1,,,2020
,,,,,,,,1,,,,1,,1,,,,2020
,,,,,,,,1,,,1,,1,,,,,2020
,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,1,,,,,1,,,,1,,2020
,,,,,,,1,,,,,1,,,1,,,2020
,,,,,,,1,,,,,1,,1,,,,2020
,,,,,,,1,,,,1,,1,,,,,2020
,,,,,,1,,,,,,,,,,,1,2020
,,,,,,1,,,,,,1,,,,1,,2020
,,,,,,1,,,,,,1,,,1,,,2020
,,,,,,1,,,,,,1,,1,,,,2020
,,,,,,1,,,,,1,,1,,,,,2020
,,,,,1,,,,,,,,,,,,1,2020
,,,,,1,,,,,,,1,,,,1,,2020
,,,,,1,,,,,,,1,,,1,,,2020
,,,,,1,,,,,,,1,,1,,,,2020
,,,,,1,,,,,,1,,1,,,,,2020
,,,,1,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,,1,,,,1,,2020
,,,,1,,,,,,,,1,,,1,,,2020
,,,,1,,,,,,,,1,,1,,,,2020
,,,,1,,,,,,,1,,1,,,,,2020
,,,1,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,1,,,,1,,2020
,,,1,,,,,,,,,1,,,1,,,2020
,,,1,,,,,,,,,1,,1,,,,2020
,,,1,,,,,,,,1,,1,,,,,2020
,,1,,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,1,,,,1,,2020
,,1,,,,,,,,,,1,,,1,,,2020
,,1,,,,,,,,,,1,,1,,,,2020
,,1,,,,,,,,,1,,1,,,,,2020
,1,,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,1,,,,1,,2020
,1,,,,,,,,,,,1,,,1,,,2020
,1,,,,,,,,,,,1,,1,,,,2020
,1,,,,,,,,,,1,,1,,,,,2020
1,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,1,,,,1,,2020
1,,,,,,,,,,,,1,,,1,,,2020
1,,,,,,,,,,,,1,,1,,,,2020
1,,,,,,,,,,,1,,1,,,,,2020
