month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Karnataka,state_Punjab,market_Garhshankar(Saila Khurd),market_Hanagal,market_Kapurthala,market_Nuzvid,market_Parvathipuram,market_Rapur,variety_Other,year
,,,,,,,,,,1,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,1,1,2020
,,,,,,,,,,1,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,1,,,1,2020
,,,,,,,,,,1,,1,,,1,,,,,2020
,,,,,,,,,,1,,1,,,1,,,,1,2020
,,,,,,,,,,1,,1,1,,,,,,,2020
,,,,,,,,,,1,1,,,1,,,,,,2020
,,,,,,,,,1,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,,,,,1,1,2020
,,,,,,,,,1,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,1,,,,2020
,,,,,,,,,1,,,,,,,1,,,1,2020
,,,,,,,,,1,,,1,,,1,,,,,2020
,,,,,,,,,1,,,1,,,1,,,,1,2020
,,,,,,,,,1,,,1,1,,,,,,,2020
,,,,,,,,,1,,1,,,1,,,,,,2020
,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,,,1,1,2020
,,,,,,,,1,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,,1,,,1,2020
,,,,,,,,1,,,,1,,,1,,,,,2020
,,,,,,,,1,,,,1,,,1,,,,1,2020
,,,,,,,,1,,,,1,1,,,,,,,2020
,,,,,,,,1,,,1,,,1,,,,,,2020
,,,,,,,1,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,,,1,1,2020
,,,,,,,1,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,,1,,,1,2020
,,,,,,,1,,,,,1,,,1,,,,,2020
,,,,,,,1,,,,,1,,,1,,,,1,2020
,,,,,,,1,,,,,1,1,,,,,,,2020
,,,,,,,1,,,,1,,,1,,,,,,2020
,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,,,1,1,2020
,,,,,,1,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,,,1,,,1,2020
,,,,,,1,,,,,,1,,,1,,,,,2020
,,,,,,1,,,,,,1,,,1,,,,1,2020
,,,,,,1,,,,,,1,1,,,,,,,2020
,,,,,,1,,,,,1,,,1,,,,,,2020
,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,,,,1,1,2020
,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,,,1,,,1,2020
,,,,,1,,,,,,,1,,,1,,,,,2020
,,,,,1,,,,,,,1,,,1,,,,1,2020
,,,,,1,,,,,,,1,1,,,,,,,2020
,,,,,1,,,,,,1,,,1,,,,,,2020
,,,,1,,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,,,,1,1,2020
,,,,1,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,,,1,,,1,2020
,,,,1,,,,,,,,1,,,1,,,,,2020
,,,,1,,,,,,,,1,,,1,,,,1,2020
,,,,1,,,,,,,,1,1,,,,,,,2020
,,,,1,,,,,,,1,,,1,,,,,,2020
,,,1,,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,,,,1,1,2020
,,,1,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,,,1,,,1,2020
,,,1,,,,,,,,,1,,,1,,,,,2020
,,,1,,,,,,,,,1,,,1,,,,1,2020
,,,1,,,,,,,,,1,1,,,,,,,2020
,,,1,,,,,,,,1,,,1,,,,,,2020
,,1,,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,,,1,1,2020
,,1,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,,,1,,,1,2020
,,1,,,,,,,,,,1,,,1,,,,,2020
,,1,,,,,,,,,,1,,,1,,,,1,2020
,,1,,,,,,,,,,1,1,,,,,,,2020
,,1,,,,,,,,,1,,,1,,,,,,2020
,1,,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,,,1,1,2020
,1,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,,,1,,,1,2020
,1,,,,,,,,,,,1,,,1,,,,,2020
,1,,,,,,,,,,,1,,,1,,,,1,2020
,1,,,,,,,,,,,1,1,,,,,,,2020
,1,,,,,,,,,,1,,,1,,,,,,2020
1,,,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,,,1,1,2020
1,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,,,1,,,1,2020
1,,,,,,,,,,,,1,,,1,,,,,2020
1,,,,,,,,,,,,1,,,1,,,,1,2020
1,,,,,,,,,,,,1,1,,,,,,,2020
1,,,,,,,,,,,1,,,1,,,,,,2020
