month_February,month_January,month_June,month_March,month_May,month_October,month_September,state_Uttar Pradesh,market_Gadag,market_Laxmeshwar,market_Sultanpur,variety_Other,year
,,,,,,1,,,,1,,2020
,,,,,,1,,,,1,1,2020
,,,,,,1,,,1,,,2020
,,,,,,1,,1,,,,2020
,,,,,1,,,,,1,,2020
,,,,,1,,,,,1,1,2020
,,,,,1,,,,1,,,2020
,,,,,1,,,1,,,,2020
,,,,1,,,,,,1,,2020
,,,,1,,,,,,1,1,2020
,,,,1,,,,,1,,,2020
,,,,1,,,,1,,,,2020
,,,1,,,,,,,1,,2020
,,,1,,,,,,,1,1,2020
,,,1,,,,,,1,,,2020
,,,1,,,,,1,,,,2020
,,1,,,,,,,,1,,2020
,,1,,,,,,,,1,1,2020
,,1,,,,,,,1,,,2020
,,1,,,,,,1,,,,2020
,1,,,,,,,,,1,,2020
,1,,,,,,,,,1,1,2020
,1,,,,,,,,1,,,2020
,1,,,,,,,1,,,,2020
1,,,,,,,,,,1,,2020
1,,,,,,,,,,1,1,2020
1,,,,,,,,,1,,,2020
1,,,,,,,,1,,,,2020
