month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Uttar Pradesh,market_Gonikappal,market_Hunsur,market_Koppa,market_Mirzapur,market_Piriya Pattana,market_Shimogga(Theertahalli),market_Somvarpet,variety_Other,year
,,,,,,,,,,1,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,1,,,,2020
,,,,,,,,,,1,,,,1,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,2020
,,,,,,,,,,1,1,,,,1,,,,,2020
,,,,,,,,,,1,1,,,,1,,,,1,2020
,,,,,,,,,1,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,1,,,,2020
,,,,,,,,,1,,,,,1,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,2020
,,,,,,,,,1,,1,,,,1,,,,,2020
,,,,,,,,,1,,1,,,,1,,,,1,2020
,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,2020
,,,,,,,,1,,,1,,,,1,,,,,2020
,,,,,,,,1,,,1,,,,1,,,,1,2020
,,,,,,,1,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,2020
,,,,,,,1,,,,1,,,,1,,,,,2020
,,,,,,,1,,,,1,,,,1,,,,1,2020
,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,1,,,,1,,,,,2020
,,,,,,1,,,,,1,,,,1,,,,1,2020
,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,,1,,,,,,,,2020
,,,,,1,,,,,,1,,,,1,,,,,2020
,,,,,1,,,,,,1,,,,1,,,,1,2020
,,,,1,,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,1,,,,1,,,,,2020
,,,,1,,,,,,,1,,,,1,,,,1,2020
,,,1,,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,1,,,,1,,,,,2020
,,,1,,,,,,,,1,,,,1,,,,1,2020
,,1,,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,1,,,,1,,,,,2020
,,1,,,,,,,,,1,,,,1,,,,1,2020
,1,,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,1,,,,1,,,,,2020
,1,,,,,,,,,,1,,,,1,,,,1,2020
1,,,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,1,,,,1,,,,,2020
1,,,,,,,,,,,1,,,,1,,,,1,2020
