month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,"market_Flower Market,Gazipur",variety_Other,variety_Patti Calcutta,variety_Rose (Local),year
,,,,,,,,,,1,1,,,,2020
,,,,,,,,,,1,1,1,,,2020
,,,,,,,,,1,,1,,,,2020
,,,,,,,,,1,,1,1,,,2020
,,,,,,,,1,,,1,,,,2020
,,,,,,,,1,,,1,1,,,2020
,,,,,,,1,,,,1,,,,2020
,,,,,,,1,,,,1,1,,,2020
,,,,,,1,,,,,1,,,,2020
,,,,,,1,,,,,1,1,,,2020
,,,,,1,,,,,,1,,,,2020
,,,,,1,,,,,,1,1,,,2020
,,,,1,,,,,,,1,,,,2020
,,,,1,,,,,,,1,1,,,2020
,,,1,,,,,,,,1,,,,2020
,,,1,,,,,,,,1,1,,,2020
,,1,,,,,,,,,1,,,,2020
,,1,,,,,,,,,1,1,,,2020
,1,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,1,1,,,2020
1,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,1,1,,,2020
